orc 0.4.34-1
p11-kit 0.25.0-1
p7zip 1:17.05-1
pacman 6.0.2-7
pacman-mirrorlist 20230628-1
pahole 1:1.25-4
pam 1.5.3-3
pambase 20221020-1
pango 1:1.50.14-1
pangomm 2.46.3-1
pangomm-2.48 2.50.1-1
paru 1.11.1-1
patch 2.7.6-10
pciutils 3.10.0-1
pcre 8.45-3
pcre2 10.42-2
pcsclite 2.0.0-1
perl 5.36.1-2
perl-error 0.17029-4
perl-mailtools 2.21-6
perl-timedate 2.33-4
picom 10.2-1
pinentry 1.2.1-1
pipewire 1:0.3.73-1
pipewire-alsa 1:0.3.73-1
pipewire-audio 1:0.3.73-1
pipewire-jack 1:0.3.73-1
pipewire-pulse 1:0.3.73-1
pixman 0.42.2-1
pkgconf 1.8.1-1
polkit 122-1
poppler 23.06.0-1
poppler-data 0.4.12-1
poppler-glib 23.06.0-1
popt 1.19-1
portaudio 1:19.7.0-2
portmidi 1:2.0.4-1
portsmf 234-2
potrace 1.16-2
procps-ng 4.0.3-1
protobuf 23.4-1
psmisc 23.6-1
pulsemixer 1.5.1-4
python 3.11.3-2
python-argcomplete 2.0.0-2
python-attrs 22.2.0-3
python-autocommand 2.2.2-4
python-cairo 1.24.0-1
python-cffi 1.15.1-3
python-click 8.1.4-1
python-cryptography 41.0.1-2
python-cssselect 1.2.0-3
python-distro 1.8.0-3
python-fastjsonschema 2.17.1-1
python-gobject 3.44.1-4
python-inflect 6.1.0-1
python-jaraco.context 4.3.0-3
python-jaraco.functools 3.8.0-1
python-jaraco.text 3.11.1-3
python-lxml 4.9.2-3
python-more-itertools 9.1.1-4
python-numpy 1.25.0-1
python-ordered-set 4.1.0-4
python-packaging 23.1-1
python-pillow 10.0.0-2
python-pip 23.1.2-1
python-pipx 1.2.0-1
python-platformdirs 3.5.1-1
python-ply 3.11-12
python-pycparser 2.21-5
python-pydantic 1.10.9-1
python-pygments 2.15.1-1
python-pystache 0.6.1-2
python-pywal 3.3.0-8
python-pyxdg 0.28-2
python-setuptools 1:68.0.0-1
python-tomli 2.0.1-3
python-trove-classifiers 2023.7.6-1
python-typing_extensions 4.7.0-1
python-userpath 1.8.0-2
python-validate-pyproject 0.13-1
python-wheel 0.40.0-3
python-yaml 6.0.1-2
qt5-base 5.15.10+kde+r130-1
qt5-declarative 5.15.10+kde+r26-1
qt5-svg 5.15.10+kde+r8-1
qt5-translations 5.15.10-1
qt5ct 1.7-1
qt6-base 6.5.1-5
qt6-declarative 6.5.1-2
qt6-imageformats 6.5.1-1
qt6-svg 6.5.1-1
qt6-translations 6.5.1-1
qt6-wayland 6.5.1-1
ragel 6.10-3
rapidjson 1.1.0-5
raptor 2.0.16-3
rav1e 0.6.6-1
readline 8.2.001-2
rhash 1.4.3-1
rnnoise 0.4.1-1
rtkit 0.13-2
rubberband 3.2.1-1
runc 1.1.7-1
rustup 1.26.0-3
sassc 3.6.2-3
sbc 2.0-1
sddm 0.20.0-1
sdl2 2.28.1-1
sdl2_mixer 2.6.3-1
sed 4.9-3
serd 0.30.16-1
shaderc 2023.3-1
shadow 4.13-2
shared-mime-info 2.2+13+ga2ffb28-1
slang 2.3.3-2
slop 7.6-3
sof-firmware 2.2.6-1
sord 0.16.14-1
soundtouch 2.3.2-1
source-highlight 3.1.9-10
speech-dispatcher 0.11.4-2
speex 1.2.1-1
speexdsp 1.2.1-1
spirv-tools 2022.4-1
sqlite 3.42.0-1
sratom 0.6.14-1
srb2 2.2.11-1
srb2-data 2.2.11-1
srb2kart 1.6-1
srb2kart-data 1.6-2
srt 1.5.2-1
startup-notification 0.12-8
steam 1.0.0.78-1
stow 2.3.1-3
sudo 1.9.14-1
suil 0.10.18-1
suitesparse 7.1.0-1
svt-av1 1.6.0-1
sxiv 26-1
systemd 253.6-1
systemd-libs 253.6-1
systemd-sysvcompat 253.6-1
taglib 1.13.1-1
tar 1.34-2
telegram-desktop 4.8.4-2
texinfo 7.0.3-1
themix-export-spotify-git 1.2.8.r5.g2d1a2ef-1
themix-full-git 1.15.1-1
themix-gui-git 1.15.1.r121.g72582054-1
themix-icons-archdroid-git 1.0.3.r0.gb90779de4-1
themix-icons-gnome-colors-git 5.5.6.r0.gd2cb7eb-2
themix-icons-numix-git 23.04.26.r0.g71b89af4f.23.02.11.r0.gb8ab58632-1
themix-icons-papirus-git 20230601.r63.g85499ee818-1
themix-icons-suru-plus-aspromauros-git 3.0.r0.gd43a8ec4-2
themix-icons-suru-plus-git 30.0.r2.g9bd895f32-2
themix-import-images-git 1.15.1.r121.g72582054-1
themix-plugin-base16-git 1.5.4.r2.g81e71cd-1
themix-theme-oomox-git 1.12.4.r6.g71d8d5a9-1
tpm2-tss 4.0.1-1
tracker3 3.5.3-2
transmission-gtk 4.0.3-1
tree-sitter 0.20.10-1
tslib 1.22-1
ttc-iosevka-aile 22.0.0-1
ttf-iosevka 25.0.1-1
ttf-iosevka-term 25.0.1-1
ttf-librebaskerville 1.0-4
ttf-nerd-fonts-symbols 3.0.2-1
ttf-nerd-fonts-symbols-common 3.0.2-1
ttf-opensans 1.101-2
twolame 0.4.0-3
tzdata 2023c-2
uchardet 0.0.8-1
unclutter 1:1.6-3
unzip 6.0-19
usbutils 015-3
util-linux 2.39.1-1
util-linux-libs 2.39.1-1
v4l-utils 1.24.1-2
vamp-plugin-sdk 2.10.0-2
vid.stab 1.1.1-1
vmaf 2.3.1-1
vulkan-headers 1:1.3.256-1
vulkan-icd-loader 1.3.255-1
vulkan-intel 23.1.3-1
vulkan-radeon 23.1.3-1
wasi-compiler-rt 15.0.7-1
wasi-libc 1:0+328+1dfe5c3-1
wasi-libc++ 15.0.7-2
wasi-libc++abi 15.0.7-2
wavpack 5.6.0-1
wayland 1.22.0-1
wayland-protocols 1.31-1
webkit2gtk 2.40.3-1
webrtc-audio-processing 0.3.1-3
which 2.21-6
wireplumber 0.4.14-1
woff2 1.0.2-4
wpa_supplicant 2:2.10-8
wpebackend-fdo 1.14.2-1
wxwidgets-common 3.2.2.1-1
wxwidgets-gtk3 3.2.2.1-1
x264 3:0.164.r3095.baee400-4
x265 3.5-3
xbitmaps 1.1.3-1
xcb-proto 1.15.2-3
xcb-util 0.4.1-1
xcb-util-cursor 0.1.4-1
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xclip 0.13-4
xdg-dbus-proxy 0.1.4-1
xdg-desktop-portal 1.16.0-3
xdg-desktop-portal-gtk 1.14.1-1
xdg-user-dirs 0.18-1
